sauce,,,,,,,,,,,,,,,,,,,,,
mountain dew,beer,,,,,,,,,,,,,,,,,,,,
fruit mix,mango,,,,,,,,,,,,,,,,,,,,
salad,beer,mushroom,cereal,tangerine,soup,potato,kiwi,avocado,limonate,rice,yogurt,fruit,chicken,seeds,honey,pork,beef,olive oil,chocolat,ham,eggs
seeds mix,wine,salmon,water with gas,milka chocolate,pumpkin seeds,,,,,,,,,,,,,,,,
chicken burger,provolone cheese,plastic forks,plastic plates,herb mix,olive oil,plastic glasses,napkins,lime,,,,,,,,,,,,,
black chocolate,spagetti sauce,chicken,tofu,ham,hummus,,,,,,,,,,,,,,,,
potato,pasta,paella,,,,,,,,,,,,,,,,,,,
potato,onion,carrot,,,,,,,,,,,,,,,,,,,
bread,,,,,,,,,,,,,,,,,,,,,
chicken,paella,,,,,,,,,,,,,,,,,,,,
tortilla (wheat),tortilla (corn),,,,,,,,,,,,,,,,,,,,
chicken,mushroom,tortilla,nut,broccoli,bread,,,,,,,,,,,,,,,,
yogurt,bread,ham,pasta,cream,tortilla,cookie,bread,,,,,,,,,,,,,,
paella,chicken,bread,raisins,broccoli,potato,pepper sauce,,,,,,,,,,,,,,,
meat,,,,,,,,,,,,,,,,,,,,,
avocado,eggs,cheese,oats,,,,,,,,,,,,,,,,,,
beer,chips,wine,redbull,,,,,,,,,,,,,,,,,,
chips,beer,,,,,,,,,,,,,,,,,,,,
coca-cola,soap,capers,coconut  milk,chips,cookies,salmon,turkey breast,fruit coctail,salad mix,mushrooms,onion,tomato,grapes,bread,chiken breasts,pork,caneloni,,,,
bread,,,,,,,,,,,,,,,,,,,,,